user,tx_type,protocol,signature,timestamp,from_token,from_amount,to_token,to_amount
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,SWAP,RAYDIUM,2jvqekhZKzKrLsuPpRZywobjJPL9tew2D8Ervw5VypggZmxZUWsQumrz7zYbVkeGWarnvBdfhTbk5EYYTSrRRFuo,2025-04-10 07:18:50,So11111111111111111111111111111111111111112,5.0,5qsZAnWuR7vMJbiznrJEY2ddVqZXjNYmFvR3eXSxpump,9843945.452101
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,SWAP,RAYDIUM,nMqLwSDt9xyeJji8yZDRksqdMAfDKuwpHfBwT2EszouWkhYzEM1N9PfsWLhhJdqVc1o46mJscVDw8kz3Xqi8q1Z,2025-04-10 07:22:41,So11111111111111111111111111111111111111112,20.0,8i51XNNpGaKaj4G4nDdmQh95v4FKAxw8mhtaRoKd9tE8,2135128.607565
FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,TRANSFER,SYSTEM_PROGRAM,3HTMMMP6Fgut3nmQbF1x629nN8Ue7XAUNbREFP1yayRNxACuqhDvYeHuNKaCicPrzHk2hQgw5EHaMcchSvY3MPoa,2025-04-10 07:22:53,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,TRANSFER,SYSTEM_PROGRAM,4bqW7XciGwmEUguRHLhWXFRmoXsjbYnZZ7g4xB87DqSUJ26g2mjBeaV9NtHRkX5n5zBsS5osfN21Sa955qr3dDNz,2025-04-10 07:22:53,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,SWAP,METEORA,5nxmVZsDVnC1hJxXfDgCm1tDCB9riSi4cAuEcNn1QSQ1YFtWJ2qiaZgdbXkJTJgfmd1ae3VtqZQ7Y8JLXJvZgikH,2025-04-10 08:29:33,UNKNOWN,0.0,UNKNOWN,0.0
FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,TRANSFER,SYSTEM_PROGRAM,4ELZqsihJocUuUJXdcjnakv9SQ9H2mSKPpqB4jvi5qW7ij4WRNBBiUtuBh6frKHt1XoyDaBYd4DJqcqvsb8TGug3,2025-04-10 08:29:35,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,TRANSFER,SYSTEM_PROGRAM,hhNhvVPRfyY4uactKHi4HJN42tBzNUdZ1x4gXFHE6HkXVWVtEoJekDm1fhi1otsyVXgPFqLMz74zzRSDjk6vmXJ,2025-04-10 08:29:35,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,TRANSFER,SYSTEM_PROGRAM,NN37kD9yNpA8Zic6K7c7kNkEHqeyrqSeepJQFqJBjNGsirEgzqnRdpGbGaFED8xmDispXCAvntBTekLyXoK1JKt,2025-04-10 08:29:35,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,TRANSFER,SYSTEM_PROGRAM,HKwm3m4NLfLWn333DdLUmF6SAHtvkEYqK4pVMNh6N7X36J3zJo4BqRK4b4aLZj2yxJYwTVKz8BfDZeNdEWY3nmS,2025-04-10 08:37:48,So11111111111111111111111111111111111111112,0.335519905,So11111111111111111111111111111111111111112,0.335519905
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,SWAP,METEORA,uxgXsrA6oGE6mGhdni7rKYYYAfgiZcDeXuBE12zNLJhCRBC2Y9SBu5tcg3XWMhtzNo384bBHh8RsmeNsELP1CzE,2025-04-10 09:17:41,UNKNOWN,0.0,UNKNOWN,0.0
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,TRANSFER,SYSTEM_PROGRAM,3rph8LdMgyx8jtCoaudoqVYCX11ULJzmD8Nqrw7tDL4uqF8DbXtivP2mxGN7LGYPZ73GuYtDAMxtF7aFDEHe8594,2025-04-10 09:32:53,So11111111111111111111111111111111111111112,0.241043619,So11111111111111111111111111111111111111112,0.241043619
FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,TRANSFER,SYSTEM_PROGRAM,48iAW1hEhGuSRzPQv3f2oWYFRJwqms1SRVQugfCyUaBTKkKEUnN5PE9U3WmH6kxwNryipVUerQmj9pHN6xMqe41G,2025-04-10 09:33:05,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
FLiPGqowc82LLR173hKiFYBq2fCxLZEST5iHbHwj8xKb,TRANSFER,SYSTEM_PROGRAM,3Xxi7AYiZBGzkRoJ3KyDFhjppV5U8jiojemn3ZbA4wtRyhdHhzt2vs45g9v19hGAB5RsQtxREQ5DoH3EGLAJuUvg,2025-04-10 09:33:14,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
FLiPgGTXtBtEJoytikaywvWgbz5a56DdHKZU72HSYMFF,TRANSFER,SYSTEM_PROGRAM,5PTrra2X6hP1HFsyRYEBZzSZasUGLg8Db4bpdwpMYFZv11vrA3ftxEwPLEAZZpMEvUts8AhALPMz525cXpTg3rLK,2025-04-10 09:33:14,So11111111111111111111111111111111111111112,1e-09,So11111111111111111111111111111111111111112,1e-09
9HCTuTPEiQvkUtLmTZvK6uch4E3pDynwJTbNw6jLhp9z,TRANSFER,SYSTEM_PROGRAM,2ewsxsHBbd9UjgGBnSmJ6ybMpLBSCVAyyKgZz4VqbHRg79gfJbCtnEXko5MQZeXY4RpJ8R4yKx4u86dv1Y6Ra5Nr,2025-04-10 09:50:31,So11111111111111111111111111111111111111112,0.341091305,So11111111111111111111111111111111111111112,0.341091305
